arrondissement;type_batiment;annee;volume_m3;surface_m2
2e;Bureau;2023;9885.0;3208
16e;Équipement public;2019;3468.0;1160
14e;Résidentiel;2024;;570
9e;Résidentiel;2022;3448.0;1175
9e;Résidentiel;2021;1351.0;421
18e;Résidentiel;2024;1544.0;473
2e;Résidentiel;2020;623.0;204
14e;Commercial;2022;2653.0;912
5e;Résidentiel;2017;1397.0;496
2e;Résidentiel;2024;538.0;178
11e;Commercial;2021;1938.0;680
20e;Commercial;2022;1900.0;623
15e;Résidentiel;2019;4714.0;1501
16e;Bureau;2023;5510.0;2077
15e;Commercial;2015;2025.0;779
16e;Commercial;2016;2391.0;863
11e;Résidentiel;2020;1382.0;417
3e;Résidentiel;2022;1162.0;373
17e;Équipement public;2023;628.0;229
10e;Résidentiel;2019;1205.0;364
11e;Résidentiel;2021;795.0;267
8e;Résidentiel;2020;558.0;187
4e;Commercial;2024;2874.0;858
19e;Équipement public;2021;1761.0;665
16e;Résidentiel;2019;383.0;138
13e;Équipement public;2024;1229.0;401
9e;Résidentiel;2016;2689.0;976
17e;Commercial;2024;4217.0;1341
11e;Commercial;2016;4120.0;1487
9e;Résidentiel;2017;1376.0;514
10e;Résidentiel;2023;741.0;268
5e;Résidentiel;2022;627.0;213
2e;Équipement public;2024;1705.0;622
12e;Commercial;2022;2620.0;968
18e;Équipement public;2021;3298.0;1003
2e;Bureau;2018;6364.0;2228
18e;Résidentiel;2015;1221.0;423
17e;Bureau;2016;1233.0;466
6e;Résidentiel;2017;1071.0;371
13e;Résidentiel;2015;1559.0;554
4e;Bureau;2020;2558.0;828
16e;Bureau;2022;1966.0;711
15e;Résidentiel;2024;1599.0;483
8e;Résidentiel;2019;941.0;281
2e;Commercial;2023;1294.0;483
20e;Bureau;2024;3665.0;1365
9e;Commercial;2023;1516.0;563
18e;Résidentiel;2019;1589.0;513
14e;Résidentiel;2018;1622.0;601
16e;Résidentiel;2024;603.0;184
16e;Commercial;2017;1435.0;448
4e;Bureau;2019;8062.0;2476
8e;Résidentiel;2015;594.0;197
10e;Résidentiel;2022;304.0;89
10e;Résidentiel;2021;364.0;138
1er;Commercial;2015;2051.0;702
11e;Bureau;2017;3011.0;1053
4e;Résidentiel;2020;1234.0;367
15e;Résidentiel;2020;3134.0;1024
14e;Commercial;2023;309.0;95
19e;Résidentiel;2017;1767.0;646
15e;Bureau;2024;8791.0;2599
8e;Résidentiel;2019;608.0;203
20e;Résidentiel;2023;1027.0;343
9e;Équipement public;2017;791.0;234
7e;Résidentiel;2015;716.0;247
19e;Résidentiel;2015;1066.0;365
8e;Résidentiel;2018;3638.0;1186
2e;Résidentiel;2024;4847.0;1794
10e;Résidentiel;2015;1059.0;371
16e;Résidentiel;2018;5082.0;1845
4e;Résidentiel;2016;1373.0;512
10e;Résidentiel;2024;4571.0;1388
3e;Commercial;2021;1882.0;613
14e;Commercial;2022;2202.0;763
10e;Résidentiel;2022;1730.0;591
7e;Résidentiel;2021;12397.0;4209
5e;Résidentiel;2022;2431.0;783
12e;Bureau;2015;1796.0;537
14e;Bureau;2023;5807.0;1735
19e;Résidentiel;2022;1040.0;357
9e;Résidentiel;2022;951.0;332
4e;Résidentiel;2018;2530.0;854
17e;Résidentiel;2023;1369.0;448
13e;Commercial;2018;2442.0;822
15e;Résidentiel;2015;1353.0;433
2e;Résidentiel;2024;1695.0;557
7e;Résidentiel;2017;1803.0;631
16e;Résidentiel;2016;345.0;120
17e;Résidentiel;2021;2136.0;736
9e;Bureau;2017;1482.0;554
17e;Résidentiel;2023;488.0;179
17e;Équipement public;2019;1286.0;405
8e;Résidentiel;2015;1421.0;488
18e;Bureau;2024;1813.0;654
6e;Équipement public;2020;2396.0;786
5e;Équipement public;2017;523.0;163
14e;Bureau;2021;2216.0;790
13e;Bureau;2020;1957.0;600
3e;Commercial;2015;1945.0;582
17e;Bureau;2022;3582.0;1164
4e;Résidentiel;2019;661.0;211
17e;Résidentiel;2021;2224.0;842
1er;Résidentiel;2023;1400.0;417
16e;Bureau;2021;;269
16e;Résidentiel;2021;340.0;102
16e;Résidentiel;2017;1328.0;434
14e;Commercial;2017;1721.0;661
10e;Résidentiel;2019;1246.0;474
15e;Résidentiel;2023;1313.0;418
6e;Résidentiel;2020;1569.0;514
16e;Résidentiel;2018;2600.0;992
12e;Résidentiel;2022;615.0;193
10e;Résidentiel;2023;590.0;180
11e;Résidentiel;2024;623.0;208
12e;Résidentiel;2017;1640.0;552
1er;Résidentiel;2022;3202.0;1229
3e;Commercial;2020;1486.0;460
5e;Résidentiel;2019;232.0;81
3e;Équipement public;2018;406.0;123
9e;Équipement public;2016;748.0;258
14e;Résidentiel;2017;906.0;297
14e;Résidentiel;2020;1006.0;357
10e;Résidentiel;2023;1376.0;504
18e;Bureau;2023;2369.0;736
12e;Commercial;2016;4188.0;1397
2e;Bureau;2021;1836.0;606
16e;Résidentiel;2015;732.0;217
12e;Commercial;2021;2809.0;833
13e;Résidentiel;2018;457.0;139
12e;Commercial;2019;2639.0;960
12e;Résidentiel;2022;1439.0;468
2e;Commercial;2019;1812.0;549
12e;Bureau;2023;8958.0;3089
16e;Résidentiel;2020;;323
7e;Commercial;2024;8499.0;2616
13e;Résidentiel;2021;1144.0;383
1er;Commercial;2017;822.0;269
7e;Résidentiel;2022;1407.0;416
9e;Équipement public;2019;631.0;204
20e;Résidentiel;2020;791.0;269
5e;Équipement public;2016;1769.0;611
6e;Bureau;2016;4348.0;1482
9e;Commercial;2020;1300.0;482
20e;Bureau;2016;5882.0;1818
18e;Bureau;2024;6626.0;2026
1er;Équipement public;2023;3661.0;1295
5e;Résidentiel;2022;1940.0;682
17e;Commercial;2022;5218.0;1581
2e;Résidentiel;2020;359.0;137
18e;Commercial;2015;1608.0;533
6e;Résidentiel;2018;730.0;246
19e;Commercial;2019;2184.0;693
6e;Commercial;2024;1347.0;493
9e;Résidentiel;2017;1192.0;380
14e;Résidentiel;2019;5002.0;1724
3e;Bureau;2018;2617.0;846
12e;Bureau;2016;3937.0;1496
11e;Résidentiel;2016;1138.0;383
16e;Commercial;2018;2119.0;702
20e;Équipement public;2015;1345.0;485
14e;Résidentiel;2015;1833.0;676
9e;Résidentiel;2018;3028.0;1101
9e;Résidentiel;2017;4244.0;1476
9e;Commercial;2020;2495.0;932
17e;Résidentiel;2015;2024.0;603
7e;Bureau;2018;1317.0;450
4e;Commercial;2019;1889.0;582
7e;Résidentiel;2024;2587.0;765
1er;Bureau;2021;5403.0;2028
3e;Bureau;2023;3417.0;1095
2e;Résidentiel;2018;;756
